,Data,Localauthority_Code,Localauthority_ItemName_ENG,Localauthority_SortOrder,Localauthority_Hierarchy,Localauthority_AltCode1,Measure_Code,Measure_ItemName_ENG,Measure_SortOrder,Measure_Hierarchy,Measure_ItemNotes_ENG,Year_Code,Year_ItemName_ENG,Year_SortOrder,RowKey,PartitionKey
0,95.701706,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1997,Mid-year 1997,997,0000000000000000,
1,68592.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1996,Mid-year 1996,996,0000000000000001,
2,97.126504,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1991,Mid-year 1991,991,0000000000000002,
3,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2001,Mid-year 2001,1001,0000000000000003,
4,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2004,Mid-year 2004,1004,0000000000000004,
5,95.275953,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2001,Mid-year 2001,1001,0000000000000005,
6,96.147131,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1995,Mid-year 1995,995,0000000000000006,
7,69794.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2017,Mid-year 2017,1017,0000000000000007,
8,68109.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1997,Mid-year 1997,997,0000000000000008,
9,98.069343,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2017,Mid-year 2017,1017,0000000000000009,
10,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1995,Mid-year 1995,995,0000000000000010,
